mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,label
-374.75012,63.964546,13.682044,7.434467,7.9159946,5.6485195,3.127057,5.11628,2.8824205,3.4453018,0.28340474,1.5827525,-0.59185874,134.45831,16.461113,18.368277,8.892425,7.0645833,6.3200474,6.67284,5.08281,5.554933,4.386739,4.8464627,4.434463,5.1980515,hail
-35.9258,43.612663,-3.0830114,4.871378,-7.271639,2.5010343,-4.2165837,5.898472,-3.6806293,2.6880019,-3.667939,2.0771122,-2.068702,9.476637,6.2026305,4.323815,3.9657295,3.7104094,3.4368258,3.4400027,3.5919583,3.27967,3.1868954,3.3465686,3.1849241,3.1178806,hail
-471.8714,8.324803,-13.551401,7.5540204,-3.4001808,5.480869,-3.2455778,3.1987996,-1.4891549,2.231365,-1.4163415,2.8945773,-4.5743823,87.54938,9.504804,9.642162,8.5068,6.759632,6.5654836,5.8947845,5.724013,5.394101,5.2961893,4.923595,4.6701655,4.225503,hail
-299.20496,35.79847,-7.7548385,6.1424537,-8.122336,6.555276,3.016366,0.39565635,-9.935798,10.135817,-4.556306,5.6884403,-0.9195369,72.952225,38.335365,9.2758875,7.3261666,5.5902157,5.9421306,5.3024206,4.7551546,5.2523766,5.057305,4.3634844,3.575441,3.9279044,hail
-251.5874,23.222366,-34.795723,40.479153,-31.334387,15.915053,-19.579903,2.812698,-16.0884,2.6960306,-9.459179,-0.30908367,-0.8958418,59.455444,11.960407,5.311646,4.667805,5.3060594,4.0666924,4.634186,3.7348626,4.4593782,3.4552572,3.8218842,3.5935466,3.4998772,hail
-413.01718,61.397495,26.943422,21.1842,12.758968,9.728628,11.595492,13.783223,10.894712,6.6415176,3.6557503,5.812119,7.0191483,68.359406,23.088074,17.795382,7.003404,7.7034025,5.5720024,5.816781,4.2138247,4.23398,3.8396776,3.9262555,3.371727,3.6704352,hail
-259.99878,121.909134,-32.823513,16.778652,3.0719924,13.506589,13.427096,16.628696,13.17397,10.921184,5.1507835,7.7356577,7.2416077,43.792942,15.589831,8.693042,5.8455358,5.3383646,4.2846813,4.4325986,4.228699,4.455901,3.5090814,3.5467765,3.5174341,3.642516,hail
-251.83646,45.59639,1.2464054,14.632258,3.7481637,14.015309,9.483895,12.001624,7.260033,8.231967,2.793778,5.6012354,2.042327,46.824543,33.966732,5.653902,4.930967,4.886711,5.194311,4.6828704,4.5091686,4.8877926,4.9563985,4.505581,4.161648,4.2736654,hail
-340.34982,38.289356,28.752928,16.324427,4.5533814,13.527482,1.4290559,4.8911247,-3.113773,-0.9915831,2.8313522,1.2076818,6.0498843,49.33084,17.734562,11.2287035,7.1048813,5.3185234,4.852525,4.426882,4.3147388,4.353778,4.2101536,4.4362793,4.1002703,4.167441,hail
-299.45074,12.782457,-10.148082,5.963386,-8.245245,6.9403048,11.012994,7.1273823,-3.005225,2.3923028,2.2712183,4.2454185,2.392629,29.75581,11.420153,8.588927,8.126059,8.013726,7.2586207,6.7134295,7.086155,6.891352,5.867609,5.463877,5.208226,4.7653093,hail
-101.40691,39.580933,6.4656086,12.966297,-4.7244186,3.0534906,-6.1054435,5.2815614,-2.8560162,2.8098626,-3.142715,0.23850682,-8.356236,51.6514,25.525915,10.016289,5.704867,5.5324044,4.443543,4.0368857,3.8181674,3.593203,3.6246638,3.542496,3.4117572,3.3266268,hail
